[2019-07-20 18:00:07] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-20 18:00:12] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-20 18:00:16] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-20 18:00:29] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1176852736]
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1185245440]
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-20 18:00:30] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 09:53:26] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 09:53:26] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 09:53:26] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-629160192]
[2019-07-22 09:53:26] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-637552896]
[2019-07-22 09:53:27] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-22 09:53:27] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-22 09:53:27] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 09:54:12] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 09:54:12] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 09:54:12] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1510181120]
[2019-07-22 09:54:12] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1518573824]
[2019-07-22 09:54:13] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-22 09:54:13] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-22 09:54:13] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[251647744]
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[243255040]
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-22 09:54:21] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 09:54:51] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 09:54:51] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 09:54:51] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1188022016]
[2019-07-22 09:54:51] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1179629312]
[2019-07-22 09:54:52] | CInterfaceManager.cpp-L1208: getfcnt [1], getfcntsucceed[0], totalRecv[0] 
[2019-07-22 09:54:52] | CInterfaceManager.cpp-L4323: DisplayProcess exit
[2019-07-22 09:54:52] | CInterfaceManager.cpp-L4475: RecvThreadProcess exit
[2019-07-22 09:57:53] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 09:57:54] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 09:57:54] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1026570496]
[2019-07-22 09:57:54] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1034963200]
[2019-07-22 10:41:45] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:41:46] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:41:46] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[76379904]
[2019-07-22 10:41:46] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-134220032]
[2019-07-22 10:43:02] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:43:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:43:03] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[651151104]
[2019-07-22 10:43:03] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[642758400]
[2019-07-22 10:43:26] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:43:26] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:43:26] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1026570496]
[2019-07-22 10:43:26] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1034963200]
[2019-07-22 10:44:10] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:44:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:44:10] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-469764352]
