[2019-07-20 18:00:07] | GigEVisionManager.cpp-L0282: socket mode start!
[2019-07-20 18:00:07] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a81f9d]
[2019-07-20 18:00:07] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a81f9d]
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a81f9d], hostPort[36991], devIP[c0a81f9b]
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L0888: GVCP_GetAccessPrivilege [1][80000203]
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L0743: connect device failed! [80000203]
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L0904: disconnect device ...
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L1864: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 415)
[2019-07-20 18:00:07] | GigEVisionManager.cpp-L2289: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L0282: socket mode start!
[2019-07-20 18:00:12] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a81f9d]
[2019-07-20 18:00:12] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a81f9d]
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a81f9d], hostPort[36965], devIP[c0a81f9b]
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L0888: GVCP_GetAccessPrivilege [1][80000203]
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L0743: connect device failed! [80000203]
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L0904: disconnect device ...
[2019-07-20 18:00:12] | GigEVisionManager.cpp-L1864: SetAcquisitionStop Execute Fails Feature not present (reference not valid) : AccessException thrown (file 'NodeMapRef.h', line 415)
